단어,주요뜻,메모,암기여부,저장날짜
for a while,"잠깐, 잠시 동안 ",,미암기,2012-03-19 13:07:13
take a message,메시지를 남기다,"1)She's out right now. Can I take a message? 그녀는 지금 밖에 나갔어요. 메시지를 남기시겠어요?
",미암기,2012-03-19 13:07:06
sign the contract,계약서에 서명하다,"1)Are there any reasons why we shouldn't sign the contract? 
그 계약서에 서명을 해서는 안 되는 이유라도 있나요
",미암기,2012-03-19 13:06:54
get paid,돈을 지불 받다,"1)We're supposed to get paid next Friday, but it's a holiday. Are we going to get paid before, on Thursday, or on the Monday after? 다음 주 금요일이 급여일인데, 그 날이 공휴일이거든요. 급여가 전날인 목요일에 나오나요, 그 다음 주 월요일에 나오나요?
",미암기,2012-03-19 13:06:45
make up on-e’s mind,"결심하다, 결단을 내리다 ","1)I can't quite make up my mind. I don't know whether to have a salad or a burger. 
아직 결정하지 않았어요. 샐러드를 먹을지 아니면 햄버거를 먹어야 할지 모르겠어요.

",미암기,2012-03-19 13:06:09
get worked up about,속상해하다,"1)I wonder why people would get so worked up about that. 
사람들이 그 일에 왜 그렇게 열을 내는지 모르겠어요.
",미암기,2012-03-19 13:06:03
do on-e’s best,전력[최선]을 다하다 ,"1)I know you will all do your best, and we will have a lot to show for our hard work when the rush is over. 여러분 모두 최선을 다해 주실 것이라고 믿으며, 성수기가 끝났을 때 여러분이 열심히 일한 것에 대한 성과가 확실히 나타날 것이라고 기대합니다.
",미암기,2012-03-19 13:05:55
for a minute,"잠시, 잠깐","1)Would you save my place for a minute, please? 잠깐만 제 자리 좀 봐 주시겠습니까?

",미암기,2012-03-19 13:05:47
working conditions,노동[근무] 조건. ,,미암기,2012-03-19 13:05:39
have a fight,싸움을 하다,"1)I had a fight with my friends yesterday. 어제 친구와 다투었어요.
",미암기,2012-03-19 13:04:55
familiar with,…을 잘 알고 있는,"1)You’re too familiar with me. 당신은 내게 너무 허물없이 구는군요.

",미암기,2012-03-19 13:04:40
You can say,…라고 해도 좋다,"1)You can say that again. = You said it. = You’re telling me. = You don’t say. = That makes two of us
",미암기,2012-03-19 13:04:33
Why don’t we,"[제안·권유 등에 써서] 우리…하는 게 어때요, 우리…하지 않겠어요? ","1)Why don't we plan on placing the ad in every newspaper in the city? 
시의 모든 신문에 광고하는 계획을 세워보는 게 어떨까요?

",미암기,2012-03-19 13:04:26
be swamped with,"정신 못차리다, 압도 당하다, 꼼짝달싹 못하다","1)I’m swamped with work. 일이 밀어닥쳐 정신 못 차리고 있어요.


",미암기,2012-03-19 13:04:08
learn about,…에 대해 배우다. ,"1)They completely mystify me. I'd like to learn more about them.
 컴퓨터는 통 모르겠어요. 좀 더 배우고 싶어요.
",미암기,2012-03-19 13:03:58
be able to,국제 결혼,"1)The men were not able to repair the bicycles. 남자들은 그 자전거를 수리할 수 없었습니다.
",미암기,2012-03-19 13:03:45
international marriage,국제 결혼,,미암기,2012-03-19 13:03:39
think the same way,같은 생각이다,"1)I have no doubts that it will. Many researchers seem to think the same way. 
의심할 여지가 없어요. 많은 연구가들도 그와 같이 생각하고 있는 것 같더군요.

",미암기,2012-03-19 13:03:32
talk a person into,…을 설득하여 …시키다[…을 단념시키다] ,"1)I don't know why I let them talk me into doing all this overtime. 
나는 왜 그 사람들이 이 모든 걸 야근까지 해서 다 하라고 시키는데 가만있었는지 나 자신을 알 수가 없어요.


",미암기,2012-03-19 13:03:02
be different from,…와 다르다,"1)The net result of all this is that when baseball gets moving again, it will be a very different sport from the on-e we knew before. 이에 대한 최종 결론은 야구가 다시 재개될 경우 우리가 전에 알던 것과는 아주 다른 스포츠가 될 것이라는 점입니다.

",미암기,2012-03-19 13:02:54
blow on-e’s nose,코를 풀다 ,"1)He blows his nose with hissing sound. 그는 코를 흥하고 풀어요.

",미암기,2012-03-19 13:02:48
make a sound,소리를 내다,"1)A hummingbird's wings flutter so fast that they make a humming sound. 
벌새의 날개는 아주 빠르게 퍼덕거려 윙윙거리는 소리가 나요.
",미암기,2012-03-19 13:02:41
read a newspaper,신문을 읽다,"1)신문을 읽다
",미암기,2012-03-19 13:02:26
on the internet,인터넷 상에서,"1)That's right, you can earn your degree on the Internet, at the Internet College On-line Education Center. 그렇습니다, 인터넷 대학 온라인 교육센터에서 인터넷으로 학위 취득이 가능하게 되었습니다
",미암기,2012-03-19 13:02:19
plan to,~할 계획하다,"1)We plan to make an overland trip across China. 우리는 육로로 중국 횡단 여행을 할 계획입니다. 
",미암기,2012-03-19 13:02:12
camera-shy,사진 찍히기 싫어하는  ,"1)She is camera-shy. = She is reluctant to be photographed. = She is shy of camera. 
그녀는 사진 찍기를 꺼립니다.


",미암기,2012-03-19 13:02:01
fat­-free milk,무지방 우유,,미암기,2012-03-19 11:47:15
a bowl of rice,,"1)밥한공기
",미암기,2012-03-19 11:47:08
a piece of fruit,,,미암기,2012-03-19 11:47:02
perfectist,완벽주의자,,미암기,2012-03-19 11:45:32
all day,"종일의, 하루 종일 걸리는",,미암기,2012-03-19 11:42:56
at that time,그때는,,미암기,2012-03-19 11:42:51
be busy with,"~으로 바쁘다, ~에 발목잡히다","1)The street was busy with many peoples 
",미암기,2012-03-19 11:42:44
based on,"…을 바탕으로,…을 근거하여",,미암기,2012-03-19 11:42:09
be worthy of,~할만 하다,,미암기,2012-03-19 11:42:03
be capable of,"~이 가능하다, ~할 수 있다.",,미암기,2012-03-19 11:41:55
capitalize on,"~을 이용하다, 틈타다.",,미암기,2012-03-19 11:41:43
consist of,…으로 구성되다. ,"1)= be made up of
",미암기,2012-03-19 11:41:29
