단어,주요뜻,메모,암기여부,저장날짜
cool,냉각|멋진|시원한|좋다|식히다,,미암기,2011-02-27 16:44:56
common,공통의|흔한|일반적인|공동의|보통의,,미암기,2011-02-27 16:44:56
comfortable,편안한|편한|쾌적한|안락한|안정된,,미암기,2011-02-27 16:44:56
uniform,유니폼|똑같은|일제히,,미암기,2011-02-26 08:56:40
truth,진실|사실|진리|진상|진심,,미암기,2011-02-26 08:56:40
trust,신뢰|믿음|신탁|기업합동|신용,"1)Without rust there, can be no sale. 
신용 없이는 판매가 있을 수 없다.
",미암기,2011-02-26 08:56:40
trouble,문제|곤란|어려움|고민|말썽,,미암기,2011-02-26 08:56:40
tradition,전통|전해지는|관습,,미암기,2011-02-26 08:56:40
science,과학|사이언스|학문,,미암기,2011-02-24 09:13:48
refrigerator,냉장고|냉동기,,미암기,2011-02-24 09:13:48
race,경주|인종|경쟁|경기|선거전,,미암기,2011-02-24 09:13:48
progress,발전|진전|진보|진행|진척,,미암기,2011-02-24 09:13:48
lesson,교훈|수업|가르치다|단원,,미암기,2011-02-23 08:56:50
law,법|법칙|법률|법안|규정,,미암기,2011-02-23 08:56:50
kindness,친절|호의,,미암기,2011-02-23 08:56:50
kindergarten,유치원,,미암기,2011-02-23 08:56:50
justice,정의|사법|공정|재판|판사,,미암기,2011-02-23 08:56:50
junior,주니어|2학년인|1학년인|3학년인|후배,,미암기,2011-02-23 08:56:50
heaven,천국|하늘,,미암기,2011-02-23 08:56:50
freedom,자유|석방,,미암기,2011-02-22 08:23:09
form,형태|형성하다|형식|만들다|종류,,미암기,2011-02-22 08:23:09
fox,여우|폭스|매력적인,,미암기,2011-02-22 08:23:09
foreigner,외국인|관광객 |이방인|국외자|외인,,미암기,2011-02-22 08:23:09
floor,바닥|층|의원|마루|발언권,,미암기,2011-02-22 08:23:09
feeling,느낌|감정|기분|마음|감각,,미암기,2011-02-22 08:23:09
engineer,공학자|기술자|엔지니어|운영하다|공병,,미암기,2011-02-22 08:23:09
difference,차이|차액|다른점|변화|구별,,미암기,2011-02-20 14:51:52
culture,문화|배양|문명,,미암기,2011-02-20 14:51:52
crowd,군중|붐비다|관객|많음|혼잡,,미암기,2011-02-20 14:51:52
cost,비용|가격|얼마이다|들다|경비,,미암기,2011-02-20 14:51:52
clothes,옷|의복|의상|세탁물|옷가지,"1)옷, 의복, 침구, 세탁물
",미암기,2011-02-20 14:50:59
choice,선택|결정|선정|종류,"1)선택, 선택권
",미암기,2011-02-20 14:50:59
chief,장관|최고의|국장|주요한|추장,,미암기,2011-02-20 14:50:59
century,세기|100년,,미암기,2011-02-20 14:50:59
butterfly,나비|접영|두근거리는|인간관계가 좋은 사람,,미암기,2011-02-20 14:49:17
bridge,교량|다리|브리지|육교|메우다,,미암기,2011-02-20 14:49:17
brain,뇌|두뇌|머리|브레인,,미암기,2011-02-20 14:49:17
bit,조금|약간,,미암기,2011-02-20 14:49:17
bar,바|술집|막대|판매대,,미암기,2011-02-20 14:49:17
each other,서로|상호,"1)The two boys always help each other.
그 두소년은 항상 서로 돕는다.

each other : 서로 [두 사람일 때] 
on-e another : 서로 [주로 세 사람일 때]

",미암기,2011-02-20 09:38:10
modesty,겸손|정숙함|소박함,"1)Everybody knows her modesty. 
모든 사람이 그녀의 겸손함을 알고 있다.

",미암기,2011-02-19 08:46:50
moment,순간|지금|때|잠깐|기회,"1)Don't waste your time seeking after momentary joys. 
순간적인 기쁨을 위해 당신의 시간을 낭비하지 마세요.

",미암기,2011-02-19 08:46:50
for a moment,잠깐 동안|당장 그때만|잠시 동안,"1)Wait here for a moment.
잠시 동안 여기에서 기다려라
",미암기,2011-02-16 08:44:47
for example,예를 들면|한 예|가령|예컨대,"1)For example, a whale is not fish.
예를 들면, 고래는 물고기가 아니다.
",미암기,2011-02-16 08:44:47
recruit,채용하다|모집하다|선발하다|신병|신입사원,"1)In war time, many young men were recruited. 
전쟁중 많은 젊은이들이 징집되었다.
",미암기,2011-02-15 14:45:38
fare,운임|요금|실적을 내다|상연물,"1)What is the train fare from Daejeen to Seoul? 
대전에서 서울까지 기차 요금이 얼마나 하죠?
",미암기,2011-02-15 14:45:38
entitle,자격을 주다|제목을 붙이다,"1)…의 칭호를 주다, 권리[자격] 를 주다 [to] 

All the members of this meeting are entitled to vote.
이 회의에 있는 회원 모두에게 투표할 권리가 주어졌다.

",미암기,2011-02-14 08:55:40
factory,공장|회사|제조소|팩토리,,미암기,2011-02-13 13:57:54
busy,바쁜|분주한|붐비다|통화 중인,"1)The line was busy this time. 
이 시간에는 통화 중이었습니다
=바쁜, 교통이 빈번한, 통화중인, 바쁘게 하다.
",미암기,2011-02-13 13:57:54
view,보기|견해|관점|전망|관찰하다,"1)The view from the top floor is very good. 
맨 위층의 전망은 매우 좋다.

",미암기,2011-02-13 08:39:13
due,예정인|정당한|때문에|세금|인해,"1)Dues are $10.00 per year for each member of this meeting. 
이 모임의 회원은 년 간 회비가 10달러이다.

",미암기,2011-02-12 08:33:13
receive,받다|수상하다|얻다|접수하다|당하다,,미암기,2011-02-12 08:33:13
capital,자본|수도|자금|자산|대문자,"1)She has an enough capital for the investment. 
그녀는 그 투자에 필요한 충분한 자본을 가지고 있다.

",미암기,2011-02-11 09:03:57
delivery,분만|배달|배송|인도|운송,"1)We do have a delivery service. 
우리는 배달 봉사를 하고 있습니다.
",미암기,2011-02-11 09:03:57
earning,얻다|소득|벌다,"1)My earnings rose 20% in the first quarter of this year. 
나의 수입이 올해 1분기에 20% 증가했다.

",미암기,2011-02-10 10:09:22
display,보여주다|(작품을) 전시하다|디스플레이|표현하다|화면,"1)The new  house model is displayed here. 
새 집 모델이 이곳에 진열되어 있습니다.

",미암기,2011-02-10 10:09:22
present,현재의|보여주다|제시하다|선물하다|발표하다,,미암기,2011-02-08 09:06:31
consent,동의하다|승낙하다|이구동성으로,"1)You haven't given me your consent yet. 
당신은 아직 동의를 하지 않으셨습니다.
",미암기,2011-02-08 09:06:31
insurance,보험|보험금,"1)보험[계약], 보험료, 보증
",미암기,2011-02-07 08:32:43
hold out,견디다|지탱되다|유지되다,"1)One man holds out his hand to another.
한 사람이 다른 또 한 사람에게 손을 내민다.

",미암기,2011-02-06 11:05:45
grow up,자라나다|성장|크다|유년기를 보내다|어른이 되다,"1)Where did you grow up? 
당신은 어디서 자랐습니까?

",미암기,2011-02-06 11:05:45
in short,요컨대|간단히 말해|요약하면,"1)In short, our bodies talk, too.
요약하면 우리의 신체 역시 말을 하는 것이다.
",미암기,2011-02-05 10:36:14
all around,다재다능한|전반에 걸친|전면적인,"1)There were many flowers all around.
꽃이 도처에 많이 있다
",미암기,2011-02-04 12:50:04
after school,방과 후의|방과 후,"1)What do you do after school?
방과후에 뭐할거니?
",미암기,2011-02-04 12:50:04
no longer,더 이상 …이 아닌|이미 …아니다|더 이상…않다,"1)You are no longer a little boy.
[너는 더 이상 어린아이가 아니다.]
",미암기,2011-02-03 09:46:11
on foot,걸어서|도보로|착수되어,"1)I went there on foot.
[나는 도보로 거기에 갔다.]

",미암기,2011-02-03 09:46:11
well,잘|흠|충분히|나은|우물,"1)잘, 건강하여, 글쎄[요]
",미암기,2011-02-02 09:10:12
without,…없이|…하지 않고,,미암기,2011-02-02 09:10:12
whole,전체|모든|전|완전히|전부,,미암기,2011-02-02 09:10:12
stand for,…을 나타내다|상징하다|대표하다,,미암기,2011-02-01 09:47:24
judge,판사|판단하다|판결하다|평가하다|심판하다,"1)판사[법원]
",미암기,2011-01-31 09:29:05
unfair,부당한|불공정한|불공평한|억울한,,미암기,2011-01-31 09:29:05
unexpected,예기치 않은,,미암기,2011-01-31 09:29:05
unemployment,실업,"1)실직
",미암기,2011-01-31 09:29:05
undertaking,사업|실시|맡은,,미암기,2011-01-31 09:29:05
take out,…을 꺼내다|인출하다|내가다,"1)Take out your shoes.
신발을 꺼내라
",미암기,2011-01-30 12:42:48
take care of,돌보다|신경쓰다|관리|처리|책임,"1)돌보다
",미암기,2011-01-30 12:42:48
take off,이륙하다|벗기다|나가버리다|시작하다|지우다,"1)Take off shoes in the room.
실내에서는 신을 벗어라

",미암기,2011-01-30 12:42:48
summary,요약|개괄|약식|성명,,미암기,2011-01-29 10:06:25
suggest,제안하다|시사하다|제시하다|암시하다|제의하다,"1)제안하다, 암시하다.
",미암기,2011-01-29 10:06:25
suddenly,갑자기|순식간에,,미암기,2011-01-29 10:06:25
such,…같은|그러한|이러한|그렇게|매우,,미암기,2011-01-29 10:06:25
success,성공|성과|달성|성공한 사람|대히트,,미암기,2011-01-29 10:06:25
soon,곧|조만간|빨리|바로|금방,"1)곧, 빨리, 기꺼이
",미암기,2011-01-28 09:32:04
some,일부|몇|어떤|…중에는|약간,,미암기,2011-01-28 09:32:04
solve,해결하다|풀다|해소하다|처리하다|밝히다,,미암기,2011-01-28 09:32:04
slightly,약간|조금|가볍게,,미암기,2011-01-28 09:32:04
skill,기술|실력|기능|솜씨,,미암기,2011-01-28 09:32:04
singly,단독으로|하나씩|홀로,,미암기,2011-01-28 09:32:04
return,돌아오다|복귀하다|돌아가다|돌려주다|수익,"1)돌려주다, 반환하다, 획득
",미암기,2011-01-27 09:47:06
retire,은퇴하다|퇴직하다|퇴역시키다|퇴임하다|물러나다,,미암기,2011-01-27 09:47:06
retail,소매|유통|판매|매장|마트,,미암기,2011-01-27 09:47:06
resume,재개하다|다시 시작하다|이력서|경력|되찾다,,미암기,2011-01-27 09:47:06
result,결국|결과|성과|효과|초래한다,,미암기,2011-01-27 09:47:06
restrict,제한하다|규제|금지하다|제약|통제,,미암기,2011-01-27 09:47:06
restrain,제한하다|자제하다|검거하다|금지하다|압박하다,,미암기,2011-01-27 09:47:06
reject,거부하다|거절하다|기각하다|받아들이지 않다|부인하다,,미암기,2011-01-26 11:46:02
region,지역|지방|지대,,미암기,2011-01-26 11:46:02
regard,관련되다|간주하다|보다|여기다|생각하다,,미암기,2011-01-26 11:46:02
refuse,거부하다|거절하다|쓰레기|사절하다,,미암기,2011-01-26 11:46:02
refresh,신선한|상쾌하게 하다|새로운|시원한| 되살리다,,미암기,2011-01-26 11:46:02
reach,도달하다|이르다|손을 뻗다|닿다|도착하다,,미암기,2011-01-25 09:28:34
rather,…보다는|오히려|…대신|차라리|상당히,,미암기,2011-01-25 09:28:34
rate,속도|비율|평가되다|요금|가격,"1)비율, 요금, 속도, 세금, 등급
",미암기,2011-01-25 09:28:34
raise,높이다|올리다|오르다|인상|제기하다,,미암기,2011-01-25 09:28:34
rail,철도|레일|철로|난간,,미암기,2011-01-25 09:28:34
quote,인용하다|전하다|발언|문구,,미암기,2011-01-25 09:28:34
permissible,허용되는|무방한|소지가 허가된,,미암기,2011-01-24 10:23:47
permanently,영구적으로|영원히|상시,,미암기,2011-01-24 10:23:47
periodical,정기 간행물|잡지|정기의,,미암기,2011-01-24 10:23:47
perform,공연하다|수행하다|연주하다|연기하다|노래하다,,미암기,2011-01-24 10:23:47
pension,연금|연기금|퇴직금|자산|펜션,,미암기,2011-01-24 10:23:47
penalty,처벌|벌금|페널티|불이익,,미암기,2011-01-24 10:23:47
overestimate,…을 과대평가하다|과대평가|…을 지나치게 많이 견적하다,,미암기,2011-01-24 10:23:47
pending,현안의|남아있는|계류중인|미결|당면한,,미암기,2011-01-24 10:22:18
patent,특허|보호|의장,,미암기,2011-01-24 10:22:18
participant,참가자|참여자|관계자|참석자|사람들,,미암기,2011-01-24 10:22:18
pace,속도|페이스|보조를 맞추다,,미암기,2011-01-24 10:22:18
overtime,초과 근무|시간 외의|잔업|연장전,,미암기,2011-01-24 10:22:18
oversee,감독하다|두루 살피다|감시하다,,미암기,2011-01-24 10:22:18
overload,과부하|…에 너무 짐을 많이 싣다|초과 적재,,미암기,2011-01-24 10:22:18
overcome,극복하다|이겨내다|해결|넘는|회복,,미암기,2011-01-24 10:22:18
loss,손실|잃음|사상자수|감소|패배,,미암기,2011-01-23 13:51:12
lightly,가볍게|살짝|쉽게|경솔히|들떠서,,미암기,2011-01-23 13:51:12
lift,들어 올리다|해제하다|태워주다|엘리베이터|양력,,미암기,2011-01-23 13:51:12
liberally,자유롭게|관대하게|아낌없이,,미암기,2011-01-23 13:51:12
lessen,줄이다|완화하다|감소하다,,미암기,2011-01-23 13:51:12
lean,기대다|기울어지다|숙이다|성향|살코기,,미암기,2011-01-23 13:51:12
lax,느슨한|태만한|로스엔젤레스 공항,,미암기,2011-01-23 13:51:12
lack,부족|…이 없다|결핍|부재|모자라다,,미암기,2011-01-23 13:51:12
issue,문제|쟁점|이슈|사안|발행하다,,미암기,2011-01-23 13:51:12
irregular,비정규의|불규칙의|비정상적인|불안정,,미암기,2011-01-23 13:51:12
investigate,조사하다|수사하다|살피다,,미암기,2011-01-23 13:51:12
interest,이자|관심|이해관계,,미암기,2011-01-23 13:51:12
indicate,나타내다|가리키다|표시하다|지적하다|암시하다,,미암기,2011-01-22 10:57:09
identical,똑같은|동일한|일란성의|닮은,,미암기,2011-01-22 10:57:09
impress,인상|감명을 주다|감동시키다,,미암기,2011-01-22 10:56:34
important,중요한|주요한|중대한|소중한,,미암기,2011-01-22 10:56:34
import,수입하다|중요하다|들여오다,,미암기,2011-01-22 10:56:34
immediate,즉각적인|즉시|당장|시급한|직접적인,,미암기,2011-01-22 10:56:34
illustrate,설명하다|삽화를 넣다|예시하다,,미암기,2011-01-22 10:56:34
illiterate,문맹,,미암기,2011-01-22 10:56:34
unlawful,법에 어긋나는|적출이 아닌|불법적인,,미암기,2011-01-22 10:56:34
illegal,불법적인|위법인|법으로 금지된,,미암기,2011-01-22 10:56:34
horizontal,수평의|가로의|바로 누운,,미암기,2011-01-22 10:56:34
identify,확인하다|알아보다|밝히다|식별하다|발견,,미암기,2011-01-21 16:55:42
friction,마찰|불화,,미암기,2011-01-21 16:53:31
freely,아낌없이|자유롭게|기꺼이,,미암기,2011-01-21 16:53:31
frequent,잦은|자주|빈번한|흔한|종종,,미암기,2011-01-21 16:53:31
fraud,사기|분식|부정|조작|위조,,미암기,2011-01-21 16:53:31
fragment,파편|분열하다|무리,"1)파편
",미암기,2011-01-21 16:53:31
fragile,취약한|깨지기 쉬운|부진한|쉽게 영향을 받는,,미암기,2011-01-21 16:53:31
foundation,재단|기반|창립|토대|파운데이션,,미암기,2011-01-21 16:53:31
forward,앞으로|발전한|전진하는|포워드|진보적인,,미암기,2011-01-21 16:53:31
forum,포럼|회의|회담|토론회|위원회,"1)토론회
",미암기,2011-01-21 16:53:31
formula,공식|방식|포뮬러 1|처방|유동식,"1)공식
",미암기,2011-01-21 16:53:31
former,전의|전임의|과거의|전자의,,미암기,2011-01-21 16:53:31
entrance,입구|들어가기|입학|현관,"1)입구
",미암기,2011-01-20 15:52:29
entire,전체의|내내|완전한|전반적인,,미암기,2011-01-20 15:52:29
enthusiasm,열정|열광|열망,,미암기,2011-01-20 15:52:29
enter,들어가다|입장하다|입력하다|참가하다|훈련시키다,,미암기,2011-01-20 15:52:29
enhance,향상하다|강화하다|증진|높이다|개선시키다,,미암기,2011-01-20 15:52:28
enforce,시행하다|집행하다|…을 강요하다|강력히 주장하다|금지하다,,미암기,2011-01-20 15:52:28
endorse,지지하다|통과시키다|동의|광고하다|지원,,미암기,2011-01-20 15:52:28
defect,결함|장애|탈주|이탈,,미암기,2011-01-20 10:19:22
dramatic,극적인|급격한|인상적인|드라마틱한|연극의,,미암기,2011-01-20 10:19:22
drain,배수하다|유출하다|소비하다|허사가 되다|마시다,"1)하수구
",미암기,2011-01-20 10:19:22
domesticate,길들이다|재배할 수 있도록 하다|가정에 정들게 하다,,미암기,2011-01-20 10:19:22
dominant,지배적인|우세한|주도|우성|대부분,,미암기,2011-01-20 10:19:22
donation,기부|기증|헌혈|모금|성금,,미암기,2011-01-20 10:16:21
donor,기증자|증여자|제공자,,미암기,2011-01-20 10:16:21
double,2배의|2중의|두 배의|더블의|갑절,"1)두 배의, 이중으로, 배, 두 배로 하다.
",미암기,2011-01-20 10:16:21
divide,나누다|분할하다|분열시키다|가르다|분리하다,"1)분할하다
",미암기,2011-01-20 10:16:21
diversify,…을 다양화하다|다각화하다|여러 가지로 변화시키다,,미암기,2011-01-20 10:16:21
diverse,다양한|여러 가지의|다른|광범위한|각계 각층의,,미암기,2011-01-20 10:16:21
distribute,나눠주다|배포하다|분배하다|공급하다|공유하다,,미암기,2011-01-20 10:16:21
distract,관심이 멀어지다|주의를 빼앗다|산만하게 하다|초점을 흐리다,,미암기,2011-01-20 10:16:21
right,권리|인권|옳은|바로|맞는,"1)바른, 적절한, 오른쪽의, 건강한
",미암기,2011-01-19 14:09:13
diagnose,진단하다|규명하다|원인을 규명하다,,미암기,2011-01-19 10:01:35
devise,마련하다|고안하다|만들어내다|계획|방법,,미암기,2011-01-19 10:01:35
device,장치|기기|기구|고안|폭발물,,미암기,2011-01-19 10:01:35
develop,개발하다|발전하다|만들다|키우다|성장하다,,미암기,2011-01-19 10:01:35
determined,결정된|결심한|생각|결의|의지,,미암기,2011-01-19 10:01:35
detergent,세제,"1)주방세제
",미암기,2011-01-19 10:01:35
deter,단념시키다|방해하다|저지하다,,미암기,2011-01-19 10:01:35
locate,위치하다|찾아내다|위치를 찾다|발견하다|자리잡고 있다,,미암기,2011-01-19 10:01:35
detect,찾아내다|감지하다|발견하다|검출하다|진단,,미암기,2011-01-19 10:01:35
destination,목적지|관광지|여행지|장소|목표,,미암기,2011-01-19 10:01:35
designed,계획적인|고의의|도형을 뜬,,미암기,2011-01-19 10:01:35
expensive,비싼|돈이 많이 드는|고가의|많은 비용|사치스러운,,미암기,2011-01-17 15:21:49
steep,가파른|급격한|경사|극단적인,"1)가파른, 경사가 급한 &lt;구어&gt; [세금, 요금 등이] 터무니없는, 엄청난
",미암기,2011-01-17 15:21:49
pricey,값비싼,,미암기,2011-01-17 15:21:49
costly,값이 비싼|사치스러운|값비싼,,미암기,2011-01-17 15:21:49
corruption,부패|비리|부정|타락,,미암기,2011-01-17 15:21:05
correspondent,특파원|기자|일치하는,,미암기,2011-01-17 15:21:05
correspond,해당하다|일치하다|교신하다,,미암기,2011-01-17 15:21:05
correlate,상관물|서로 관련시키다|상관관계를 입증하다,,미암기,2011-01-17 15:19:53
core,핵심|코어|중요한|핵|근원,,미암기,2011-01-17 15:19:53
cooperate,협력하다|협조하다|협동하다,,미암기,2011-01-17 15:19:53
convoy,호송하다|호위대|호위함,,미암기,2011-01-17 15:19:53
convince,설득하다|확신시키다|납득시키다,,미암기,2011-01-17 15:19:53
carry,휴대하다|싣다|옮기다|갖다|운반하다,"1)물건을 나르다
",미암기,2011-01-17 15:19:53
convey,전달하다|전하다|나타내다|의미하다,"1)운반하다
",미암기,2011-01-17 15:19:53
convert,전환하다|바꾸다|개조하다|개종하다|득점하다,,미암기,2011-01-17 15:19:53
conversion,전환|변화|환산|융합,,미암기,2011-01-17 15:19:53
convergence,집중성|한점에의 집합|집합함,,미암기,2011-01-17 15:19:53
conventional,전통적인|틀에 박힌|관습의,,미암기,2011-01-17 15:19:53
convention,협약|대회|컨벤션|회의|관습,"1)총회
",미암기,2011-01-17 15:19:53
convenience,편의|편리|편한|편익|용이함,,미암기,2011-01-17 15:19:53
contract,계약서|계약|맺다|수축하다|걸리다,,미암기,2011-01-17 15:17:40
continually,계속해서|지속적으로|끊임없이|자꾸,,미암기,2011-01-17 15:17:40
contest,대회|콘테스트|경쟁하다|선거,,미암기,2011-01-17 15:17:40
content,콘텐츠|내용|함유량|만족하는|목차,,미암기,2011-01-17 15:17:40
contain,들어있다|함유하다|포함하다|담다|담고 있다,,미암기,2011-01-17 15:17:40
consumption,소비|소비량|폐결핵,,미암기,2011-01-17 15:17:40
contact,접촉|연락|콘택트 렌즈|교제|시선을 마주치다,,미암기,2011-01-17 15:17:40
connection,연결|관계|관련|접속|연줄,,미암기,2011-01-17 15:16:28
considerable,상당한|꽤,,미암기,2011-01-17 15:15:59
consider,고려하다|생각한다|여기다|평가되다|검토하다,,미암기,2011-01-17 15:15:59
consequence,결과|대가|영향|중요성|성과,,미암기,2011-01-17 15:15:59
conquest,정복|승리|점령,,미암기,2011-01-17 15:15:59
conform,일치하다|따르다,,미암기,2011-01-17 15:15:59
conflict,갈등|분쟁|대립|전쟁,,미암기,2011-01-17 15:15:59
casual,캐주얼의|편한|평상복의|평상시의|우연한,,미암기,2011-01-17 13:15:51
case,경우|환자|사건|상자|소송,,미암기,2011-01-17 13:15:51
captive,감금된|포로|어쩔 수 없는,,미암기,2011-01-17 13:15:51
candidate,후보자|지원자|수험생,,미암기,2011-01-17 13:15:51
barter,교환|거래|흥정|팔다,,미암기,2011-01-16 16:32:57
barely,거의 …않다|겨우|간신히,,미암기,2011-01-16 16:32:57
bankruptcy,파산|부도,,미암기,2011-01-16 16:32:57
prohibit,금지하다|막다|통제하다|방해하다,,미암기,2011-01-16 16:32:57
forbid,금지하다|어렵게하다|용납하지 않다,,미암기,2011-01-16 16:32:57
ban,금지|못하다|규제|반대|금하다,,미암기,2011-01-16 16:32:57
banner,현수막|배너|기치|대표,,미암기,2011-01-16 16:32:57
balance,균형|안정|조화|잔고,,미암기,2011-01-16 16:31:36
awfully,아주|상당히|너무,,미암기,2011-01-16 16:31:36
award,상|수여하다|어워드|상금,,미암기,2011-01-16 16:31:36
avalanche,사태|눈사태,,미암기,2011-01-16 16:31:36
available,이용할 수 있는|이용 가능한|유효한|유용한|시간이 있는,"1)이용할 수 있는, 손에 넣을 수 있는
",미암기,2011-01-16 16:31:36
automate,자동화하다|오토메이션화하다|오토메이션 기술을 사용하다,,미암기,2011-01-16 16:30:37
authorization,위임|허가|권한 부여,,미암기,2011-01-16 16:30:37
authority,당국|권한|권위|권위자|권력,,미암기,2011-01-16 16:30:37
authentic,진정한|진짜의|실제의|믿을 만한,,미암기,2011-01-16 16:30:37
audit,감사|세무조사|단속|청강,,미암기,2011-01-16 16:30:37
auction,경매|…을 경매하다|…을 경매에 부치다,,미암기,2011-01-16 16:30:37
attractive,매력적인|매혹적인,,미암기,2011-01-16 16:30:37
attorney,변호사| 지방 검사|법무장관|법정대리인| 위임장,,미암기,2011-01-16 16:30:37
attentive,주의 깊은|세심한|친절한,,미암기,2011-01-16 16:30:37
attention,관심|주의력|주의|주목|집중,,미암기,2011-01-16 16:30:37
attendee,참석자|출석자,,미암기,2011-01-16 16:30:37
attendant,승무원|종업원|참석자|수행원,,미암기,2011-01-16 16:30:37
attendance,출석|관객|참석|돌봄,,미암기,2011-01-16 16:30:37
instruction,교육|지시|방법|설명|교본,,미암기,2011-01-16 16:30:37
enclose,에워싸다|둘러싸다|동봉하다|첨부하다,,미암기,2011-01-16 16:30:37
attach,포함하다|부착하다|붙이다|연결|달다,,미암기,2011-01-16 16:30:37
approach,접근하다|접근법|방법|다가오다|도달하다,,미암기,2011-01-16 12:02:49
appreciate,알아주다|감사하다|고마워하다|오르다|이해하다,,미암기,2011-01-16 12:02:49
designate,지정하다|지명하다|선정하다,,미암기,2011-01-16 12:02:49
nominate,지명하다|후보에 오르다|추천하다|임명하다,,미암기,2011-01-16 12:02:49
appoint,임명하다|지명하다|지정하다,,미암기,2011-01-16 12:02:49
apply,적용하다|지원하다|신청하다|응용하다|쓰다,,미암기,2011-01-16 12:02:49
amnesty,대사|특사|…에게 대사를 내리다,,미암기,2011-01-16 11:59:29
adversity,역경|재난|불운,,미암기,2011-01-16 11:59:29
advise,권하다|조언하다|알리다|…하는 게 좋다|상담하다,,미암기,2011-01-16 11:59:29
advent,출현|도래|등장|일어남|대림절,,미암기,2011-01-16 11:59:29
alive,살아 있는|생기에 넘치는|이 세상의|계속하여|생생한,,미암기,2011-01-16 11:59:29
alert,경계|주의하다|알림|집중하다|기민한,,미암기,2011-01-16 11:59:29
agreement,협정|합의|동의|계약|조화,,미암기,2011-01-16 11:59:29
agenda,의제|과제|안건|아젠다|정책,,미암기,2011-01-16 11:59:29
affect,영향을 주다|작용하다|감염시키다|…체하다,,미암기,2011-01-16 11:59:29
advantage,이점|우위|유리|이익|혜택,,미암기,2011-01-15 12:34:14
accumulation,축적|누적|축적물,,미암기,2011-01-15 12:34:14
accurately,정확하게|그대로,,미암기,2011-01-15 12:34:14
admission,입학|입원|인정|입장|승인,,미암기,2011-01-15 12:33:26
adjourn,휴회하다|회의를 연기하다,,미암기,2011-01-15 12:33:26
adjust,조정되다|적응하다|감안하다|조절하다|맞추다,,미암기,2011-01-15 12:33:26
adhere,고수하다|들러붙다|달라붙다,,미암기,2011-01-15 12:33:26
address,주소|연설하다|해결하다|이야기하다|부르다,,미암기,2011-01-15 12:33:26
addition,추가|덧셈|증축|등재,,미암기,2011-01-15 12:33:26
acquire,얻다|인수하다|갖다|배우다|구입하다,,미암기,2011-01-15 12:33:26
adapt,적응하다|변화|적용|각색하다|익숙해지다,,미암기,2011-01-15 12:33:26
advisable,타당한|현명한|권할 만한,,미암기,2011-01-15 12:33:26
at the same time,동시에|같은 시간|한번에|역시|한편,,미암기,2011-01-14 09:51:21
meanwhile,"the time between one event, process, or period and another",,미암기,2011-01-13 10:14:53
tension,긴장|팽팽함|갈등|불안,,미암기,2011-01-13 10:14:53
further,더|더 나아가|더 멀리|게다가|그 이상의,,미암기,2011-01-13 10:14:53
refrain,자제하다|삼가다|후렴,,미암기,2011-01-13 10:14:53
stress,스트레스|강조하다|압박|중점을 두다,,미암기,2011-01-13 10:14:53
ease,완화하다|덜어주다|쉬움|편해지다|진정시키다,,미암기,2011-01-13 10:14:53
declare,선언하다|말하다|주장|선고하다|신고하다,,미암기,2011-01-13 10:14:53
forecast,예상|전망하다|예보|내다보다,,미암기,2011-01-13 10:14:53
prevent,막다|방지하다|예방하다|못하게 하다|금지하다,,미암기,2011-01-12 10:39:58
severe,심각한|무거운|가차없는|크게|엄격한,,미암기,2011-01-12 10:39:58
order,명령하다|질서|주문하다|순서|제도,"1)주문하다, 명령하다, 정돈하다, 순서, 질서
",미암기,2011-01-12 10:39:58
emergency,응급|비상|긴급한|위기|급변,,미암기,2011-01-12 10:39:58
sweep,휩쓸다|청소하다|압승하다|조사하다,,미암기,2011-01-12 10:39:58
freeze,동결|냉동하다|얼다|추워지다|멈추다,,미암기,2011-01-12 10:39:58
respective,각각의|각자의|…에 따라|저마다의|존경스러운,,미암기,2011-01-11 10:31:23
disguise,위장|변장|가장하다|숨기다|사칭,,미암기,2011-01-11 10:31:23
counter,대응|반대의|대책|카운터|역행,,미암기,2011-01-11 10:31:23
outline,윤곽|개요|…의 윤곽을 그리다,,미암기,2011-01-11 10:31:23
remain,남다|머무르다|잔존하다|살아남다|체류하다,,미암기,2011-01-09 13:27:38
dialogue,대화,,미암기,2011-01-09 13:27:38
temporary,일시적인|임시의|비정규직|가설|잠정,,미암기,2011-01-08 09:53:40
finance,재정|금융|재무|자금|재원,,미암기,2011-01-08 09:53:40
effort,노력|작업|활동,,미암기,2011-01-08 09:53:40
forth,앞으로|밖으로|이후,,미암기,2011-01-08 09:53:40
inflation,인플레이션|물가 인상|증가|부풀리기,,미암기,2011-01-07 10:29:19
stock,주식|증권|스톡|재고,,미암기,2011-01-07 10:29:19
expected,예상된|보인다|기대된|전망|예정,,미암기,2011-01-07 10:29:19
strategy,전략|방법|계획,,미암기,2011-01-07 10:29:19
agriculture,농업|축산,,미암기,2011-01-07 10:29:19
feature,특징|기능|출연하다|특집|얼굴,,미암기,2011-01-07 10:29:19
economic,경제의|경기의,,미암기,2011-01-06 09:51:29
export,수출|수출액|수출품,,미암기,2011-01-06 09:51:29
accomplishment,성취|업적|완성,,미암기,2011-01-06 09:51:29
social,사회의|소셜|사교적인|사회주의의|사귀는,,미암기,2011-01-06 09:51:29
political,정치의|정당의|정계의|정략의,,미암기,2011-01-06 09:51:29
