,title,link,image,author,price,discount,publisher,pubdate,isbn,description
180,파이썬과 함께 하는 EV3 로봇 창작 프로젝트 한 권으로 끝내는 ,http://book.naver.com/bookdb/book_detail.php?bid=16893961,https://bookthumb-phinf.pstatic.net/cover/168/939/16893961.jpg?type=m1&udate=20201105,김형기,18000,16200,삼양미디어,20201105,8958973897 9788958973898,직접 조립한 로봇으로 다양한 창작 활동을 하면서 파이썬 프로그래밍 학습은 물론 창의적 피지컬 컴퓨팅 시스템 제작까지 이 한 권으로 마스터합니다 이 책은 일상에서 발생하는 다양한 문제 상황을 레고 마인드스톰 EV3 교구로 직접 로봇을 조립하여 문제를 해결해 나가는 코딩 방법을 익히면서 소프트웨어를 
181,파이썬과 수치 해석 파이썬 수치 해석 레시피 ,http://book.naver.com/bookdb/book_detail.php?bid=15370700,https://bookthumb-phinf.pstatic.net/cover/153/707/15370700.jpg?type=m1&udate=20191002,로버트 요한슨,50000,45000,에이콘출판,20190830,116175332X 9791161753324,PYTHON을 사용해 과학과 공학 분야에 빈번히 등장하는 연산 문제를 해결하는 방법을 설명한다 PYTHON 과학 연산 모듈인 SCIPY 배열처리 기본 모듈인 NUMPY 데이터 처리를 위한 기본 모듈인 PANDAS 머신 러닝을 위한 SCIKIT LEARN을 중심으로 과학 연산을 처리할 수 있는 두 가지 중요한 기법인 기호적 
182,깐깐하게 배우는 파이썬 3 기본기를 다져주는 단계별 학습법 ,http://book.naver.com/bookdb/book_detail.php?bid=14459139,https://bookthumb-phinf.pstatic.net/cover/144/591/14459139.jpg?type=m1&udate=20190216,제드 쇼,22000,19800,인사이트,20190122,8966262317 9788966262311,직접 입력하고 망가뜨리고 고치면서 배우는 기초가 탄탄한 파이썬 프로그래밍누구나 코딩과 프로그래밍에 대해 이야기하게 된 요즘 가장 각광받는 언어가 바로 파이썬입니다 문법이 간결해서 입문자도 쉽게 이해할 수 있기 때문입니다 이 책은 제대로 만들어진 52단계의 연습문제를 통해 파이썬을 배웁니다 
183,비공대생을 위한 코딩 첫걸음 with 파이썬,http://book.naver.com/bookdb/book_detail.php?bid=16657310,https://bookthumb-phinf.pstatic.net/cover/166/573/16657310.jpg?type=m1&udate=20200915,김일민|홍희경|유상미|노은희,18000,17100,한성대학교출판부,20200901,8968200440 9788968200441,본 교재의 구성은 1장은 코딩을 배워하는 하는 이유와 코딩 실습을 위한 환경설정 2장은 파이썬 기본 문법을 따라 실행하면서 학습할 수 있도록 간단한 문법을 배치하였고 3장부터 6장까지는 터틀 그래픽 모듈 환경에서 학습하는 내용을 담았으며 7장부터 9장까지는 TKINTER 그래픽 모듈을 통해 학습하는 
184,초보자도 간단히 단숨에 배우는 파이썬 동영상 강의로 빠르게 시작하는 프로그래밍 입문 ,http://book.naver.com/bookdb/book_detail.php?bid=16295241,https://bookthumb-phinf.pstatic.net/cover/162/952/16295241.jpg?type=m1&udate=20200814,조인석,15800,14220,터닝포인트,20200413,1161340653 9791161340654,저자 직강 동영상 강의로 단숨에 배우는 가장 쉬운 파이썬 프로그래밍 입문서 이 책은 프로그래밍을 전혀 모르는 비전공자도 파이썬 프로그래밍에 쉽게 또한 저자 직강 동영상 강의를 제공하여 프로그래밍을 처음 해보는 사람이라도 누구나 쉽게 파이썬 프로그래밍에 도전할 수 있습니다 파이썬 기초 내용 중 
185,파이썬을 활용한 딥러닝 전이학습 Transfer Learning으로 빠르고 손쉽게 구축하는 고급 딥러닝 모델 ,http://book.naver.com/bookdb/book_detail.php?bid=15518108,https://bookthumb-phinf.pstatic.net/cover/155/181/15518108.jpg?type=m1&udate=20191210,디파니안 사르카르|러그허브 발리|타모그나 고시,30000,27000,위키북스,20191011,1158391455 9791158391454,둘째 텐서플로 케라스 파이썬 등의 기존 생태계를 활용해 실제 사례와 연구 문제 등을 실습 예제로 다룬다 이 책은 머신러닝과 딥러닝의 핵심 개념으로 시작해 중요한 딥러닝 아키텍처인 CNN DNN RNN LSTM 캡슐 네트워크 등을 다룬다 그다음 전이학습의 개념에 초점을 맞춰 모델 동결 미세 튜닝 VGG 
186,배프의 오지랖 파이썬 웹프로그래밍 Django로 쉽게 배우는 ,http://book.naver.com/bookdb/book_detail.php?bid=14571780,https://bookthumb-phinf.pstatic.net/cover/145/717/14571780.jpg?type=m1&udate=20190315,배프,22000,19800,디지털북스,20190305,8960882488 9788960882485,기초부터 실전 웹 서비스까지 다 담았다 현직 개발자이자 IT강사인 배프의 강의와 실무를 통해 쌓은 노하우를 한 단계식 알려드립니다 현 웹 프로그래밍 시장은 다양한 기술을 활용하여 얼마나 따른 시간 안에 서비스를 만들어 출시하는 지를 경쟁하는 전쟁 통입니다 수많은 기업에서 활용하는 기술들을 
187,파이썬 과학적 컴퓨팅을 위한 ,http://book.naver.com/bookdb/book_detail.php?bid=15469976,https://bookthumb-phinf.pstatic.net/cover/154/699/15469976.jpg?type=m1&udate=20191016,이정환,25000,23750,홍릉과학출판사,20190902,115600697X 9791156006978, 이 책은 파이썬을 다룬 이론서입니다 
188,비전공자의 데이터 분석을 위한 파이썬,http://book.naver.com/bookdb/book_detail.php?bid=16656213,https://bookthumb-phinf.pstatic.net/cover/166/562/16656213.jpg?type=m1&udate=20201015,염기원|오지영,15000,14250,복두출판사,20200820,1159069042 9791159069048,비전공자의 데이터 분석을 위한 파이썬 은 파이썬 기초 파이썬을 이용한 데이터 분석 기초 시각화 라이브러리 사용하기 등 파이썬의 기초적이고 전반적인 내용이 수록되어 있다 
189,파이썬,http://book.naver.com/bookdb/book_detail.php?bid=13400170,https://bookthumb-phinf.pstatic.net/cover/134/001/13400170.jpg?type=m1&udate=20190204,Y. Daniel Liang,35000,31500,에피스테메,20180302,8920028893 9788920028892,이 책은 누구나 쉽게 따라할 수 있는 파이썬 프로그래밍 언어에 기반하고 있기 때문에 프로그래밍을 이 책을 활용한 프로그래밍 학습을 통해 파이썬 프로그램을 스스로 작성하고 실행해 봄으로써 이 책은 파이썬 언어에 대한 기본 문법부터 활용까지 프로그래밍에 관한 전반적인 내용을 다루고 있고 원저자의 
